timestamp,rule,action,row,column,old_value,new_value,automatic
2026-08-10 10:14:07.559980,email_cleaner,UPDATE,2,email,test @mail.com,test@mail.com,True
2026-08-10 10:14:07.559997,email_cleaner,UPDATE,5,email,USER6@EXAMPLE.COM,user6@example.com,True
2026-08-10 10:14:07.560005,email_cleaner,UPDATE,7,email,USER8@EXAMPLE.COM,user8@example.com,True
2026-08-10 10:14:07.560010,email_cleaner,UPDATE,16,email,USER17@EXAMPLE.COM,user17@example.com,True
2026-08-10 10:14:07.560015,email_cleaner,UPDATE,17,email,test @mail.com,test@mail.com,True
2026-08-10 10:14:07.560019,email_cleaner,UPDATE,23,email,test @mail.com,test@mail.com,True
2026-08-10 10:14:07.560023,email_cleaner,UPDATE,24,email,USER25@EXAMPLE.COM,user25@example.com,True
2026-08-10 10:14:07.560027,email_cleaner,UPDATE,25,email,test @mail.com,test@mail.com,True
2026-08-10 10:14:07.560031,email_cleaner,UPDATE,26,email,test @mail.com,test@mail.com,True
2026-08-10 10:14:07.560040,email_cleaner,UPDATE,27,email,test @mail.com,test@mail.com,True
2026-08-10 10:14:07.560044,email_cleaner,UPDATE,31,email,USER32@EXAMPLE.COM,user32@example.com,True
2026-08-10 10:14:07.560048,email_cleaner,UPDATE,32,email,test @mail.com,test@mail.com,True
2026-08-10 10:14:07.560052,email_cleaner,UPDATE,33,email,USER34@EXAMPLE.COM,user34@example.com,True
2026-08-10 10:14:07.560056,email_cleaner,UPDATE,36,email,test @mail.com,test@mail.com,True
2026-08-10 10:14:07.560060,email_cleaner,UPDATE,41,email,test @mail.com,test@mail.com,True
2026-08-10 10:14:07.560064,email_cleaner,UPDATE,43,email,USER44@EXAMPLE.COM,user44@example.com,True
2026-08-10 10:14:07.560068,email_cleaner,UPDATE,45,email,test @mail.com,test@mail.com,True
2026-08-10 10:14:07.560072,email_cleaner,UPDATE,46,email,USER47@EXAMPLE.COM,user47@example.com,True
2026-08-10 10:14:07.560075,email_cleaner,UPDATE,47,email,test @mail.com,test@mail.com,True
2026-08-10 10:14:07.560079,email_cleaner,UPDATE,57,email,test @mail.com,test@mail.com,True
2026-08-10 10:14:07.560083,email_cleaner,UPDATE,59,email,test @mail.com,test@mail.com,True
